match_index,主队,客队,home_team,away_team
A组第1轮,卡塔尔,厄瓜多尔,Qatar,Ecuador
B组第1轮,英格兰,伊朗,England,Iran
A组第1轮,塞内加尔,荷兰,Senegal,Netherlands
B组第1轮,美国,威尔士,United States,Wales
C组第1轮,阿根廷,沙特阿拉伯,Argentina,Saudi Arabia
D组第1轮,丹麦,突尼斯,Denmark,Tunisia
C组第1轮,墨西哥,波兰,Mexico,Poland
D组第1轮,法国,澳大利亚,France,Australia
F组第1轮,摩洛哥,克罗地亚,Morocco,Croatia
E组第1轮,德国,日本,Germany,Japan
E组第1轮,西班牙,哥斯达黎加,Spain,Costa Rica
F组第1轮,比利时,加拿大,Belgium,Canada
G组第1轮,瑞士,喀麦隆,Switzerland,Cameroon
H组第1轮,乌拉圭,韩国,Uruguay,South Korea
H组第1轮,葡萄牙,加纳,Portugal,Ghana
G组第1轮,巴西,塞尔维亚,Brazil,Serbia
B组第2轮,威尔士,伊朗,Wales,Iran
A组第2轮,卡塔尔,塞内加尔,Qatar,Senegal
A组第2轮,荷兰,厄瓜多尔,Netherlands,Ecuador
B组第2轮,英格兰,美国,England,United States
D组第2轮,突尼斯,澳大利亚,Tunisia,Australia
C组第2轮,波兰,沙特阿拉伯,Poland,Saudi Arabia
D组第2轮,法国,丹麦,France,Denmark
C组第2轮,阿根廷,墨西哥,Argentina,Mexico
E组第2轮,日本,哥斯达黎加,Japan,Costa Rica
F组第2轮,比利时,摩洛哥,Belgium,Morocco
F组第2轮,克罗地亚,加拿大,Croatia,Canada
E组第2轮,西班牙,德国,Spain,Germany
G组第2轮,喀麦隆,塞尔维亚,Cameroon,Serbia
H组第2轮,韩国,加纳,South Korea,Ghana
G组第2轮,巴西,瑞士,Brazil,Switzerland
H组第2轮,葡萄牙,乌拉圭,Portugal,Uruguay
A组第3轮,荷兰,卡塔尔,Netherlands,Qatar
A组第3轮,厄瓜多尔,塞内加尔,Ecuador,Senegal
B组第3轮,伊朗,美国,Iran,United States
B组第3轮,威尔士,英格兰,Wales,England
D组第3轮,澳大利亚,丹麦,Australia,Denmark
D组第3轮,突尼斯,法国,Tunisia,France
C组第3轮,波兰,阿根廷,Poland,Argentina
C组第3轮,沙特阿拉伯,墨西哥,Saudi Arabia,Mexico
F组第3轮,克罗地亚,比利时,Croatia,Belgium
F组第3轮,加拿大,摩洛哥,Canada,Morocco
E组第3轮,日本,西班牙,Japan,Spain
E组第3轮,哥斯达黎加,德国,Costa Rica,Germany
H组第3轮,加纳,乌拉圭,Ghana,Uruguay
H组第3轮,韩国,葡萄牙,South Korea,Portugal
G组第3轮,塞尔维亚,瑞士,Serbia,Switzerland
G组第3轮,喀麦隆,巴西,Cameroon,Brazil
